passport_number,surname,given_name,nationality,date_of_birth,gender
DEMO001,Smith,John,Papua New Guinea,1990-01-15,Male
DEMO002,Johnson,Jane,Papua New Guinea,1985-05-20,Female
DEMO003,Brown,Mike,Papua New Guinea,1992-12-10,Male
DEMO004,Davis,Sarah,Papua New Guinea,1988-03-25,Female
DEMO005,Wilson,David,Papua New Guinea,1995-07-12,Male
DEMO006,Taylor,Lisa,Papua New Guinea,1991-11-08,Female
DEMO007,Anderson,Robert,Papua New Guinea,1987-09-30,Male
DEMO008,Thomas,Mary,Papua New Guinea,1993-04-18,Female
DEMO009,Jackson,James,Papua New Guinea,1989-06-05,Male
DEMO010,White,Emily,Papua New Guinea,1994-02-14,Female







